Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
673.148,3.94,1453923.968,1764965.345,1934593.178,2334818.562,2090341.014,2151707.985
746.2358,4.26,430151.0732,529939.3823,525594.3966,1,1,1
967.6667,5.78,1643077.776,1712605.162,1504758.739,2222102.012,2193600.839,2222286.848
472.1581,3,1112748.425,1147234.757,1212274.042,1529759.831,1685909.818,1739321.692
531.0869,5.49,1440724.713,1617903.818,1618967.966,1096183.45,1086451.827,1098991.147
154.0029,13.7,1,1,1,2493459.404,1804730.725,2146263.836
286.0685,3.13,292439.7434,378126.3925,207594.9028,475479.5302,935205.4421,719318.1722
578.1627,4.75,1791868.378,1979895.876,2124492.273,2304792.069,2328541.246,2299529.607
1060.228,4.46,1796269.921,1880001.955,1887711.161,1788689.648,2119885.811,1975524.728
348.1152,2.77,373720.4499,413801.1129,408729.4472,1,1,1
454.1236,5.07,668474.5565,690243.4784,681989.1036,612425.8023,756060.2359,645709.3346
364.1791,2.02,2140755.02,2212508.117,2224779.272,15045.57019,2041.913327,10301.37873
808.2026,3.64,1776321.751,1813672.572,1951125.706,2137117.138,2078830.064,2117185.079
1018.6637,5.77,1325218.116,1133954.891,918965.732,2201272.361,2181121.716,2100666.284
552.1833,7.08,915475.5667,889668.5106,995965.9064,958613.5851,1383929.931,1201380.31
829.5635,5.55,1750250.369,1691438.653,1518387.018,2155931.297,2134078.949,2115958.559
624.1669,4.39,1259078.251,1375573.696,1383935.12,2394406.29,1943390.714,1817486.317
408.2273,12.93,1,1,1,1,1224001.994,1
408.2273,12.99,1,1,1,2057250.611,1367378.996,1570572.859
451.2701,11.83,197328.0829,422458.9922,388070.6985,824541.9718,403236.1823,604308.0787
956.2298,6.36,1038465.551,1241347.136,1221943.44,914356.2572,850646.276,866211.4954
546.0582,3.75,1565249.176,1606686.094,1504301.093,1591195.582,1731757.346,1675227.055
366.1524,3.64,944837.7068,1027052.419,814249.6473,1078905.052,1096953.311,947834.1295
161.0474,5.93,614315.5954,645764.3829,544692.486,123557.888,140765.6269,139967.7045
381.1058,3.15,912958.2809,1081163.385,665409.5626,1275883.683,1483338.523,1378204.882
272.2346,13.5,1,1,1,1,1,1
678.1397,3.99,1869724.359,1862734.94,2005482.898,719696.5808,1850596.953,607032.3603
422.1722,3.67,1440371.454,1836559.009,1556576.334,1754421.46,1726921.341,1760865.55
