leixing,Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
1.0,972.2823,4.35,20459.68255,27193.30512,22950.27587,1.0,1.0,1.0
0.0,966.2617,4.34,195330.7011,193495.4855,190607.6719,301415.2789,229940.476,270310.3953
1.0,884.3379,4.8,10283.2714,9180.637916,14709.94733,1.0,1.0,1.0
0.0,878.3192,4.8,33563.85969,42288.01191,34914.08097,30819.86816,34109.91979,40770.42326
1.0,200.0777,4.93,47841.68029,65839.43356,24371.19025,1.0,1.0,1.0
0.0,194.0578,4.94,29629.01178,51618.29612,46090.05337,45704.30178,30916.12097,47866.01838
1.0,400.143,5.61,3777.506148,11900.08594,19015.15437,1.0,496.7992251,1.0
0.0,394.1235,5.61,24187.27485,22060.13876,20338.51359,15167.26029,12825.46308,16121.4312
1.0,743.1937,2.92,30308.66523,24605.62663,34866.83772,1.0,1.0,1.0
0.0,737.1735,2.94,89153.51851,83373.52107,88812.01652,147201.4886,154981.283,144148.3664
1.0,736.342,4.86,1.0,37850.41682,6520.588386,1.0,1.0,1.0
0.0,730.3216,4.87,1.0,11735.76262,33840.43008,9975.598152,11430.09531,9597.458917
1.0,868.3438,4.78,12923.45591,16951.77659,10044.10131,1.0,1.0,1.0
0.0,862.3247,4.77,108204.5868,129676.5106,121807.4393,152006.5976,151186.3465,155202.0076
1.0,728.1014,3.48,20078.01681,20864.6357,29670.86242,1.0,1.0,1.0
0.0,722.081,3.47,171030.1128,259145.7079,292950.533,240365.2008,163186.6771,211368.765
1.0,294.0829,5.84,21399.14469,32900.23103,36430.91629,1.0,1.0,1.0
0.0,288.0632,5.84,12399.20296,15153.03201,10682.3984,20321.67354,16169.2603,17813.97572
1.0,174.0624,3.29,6930.919174,6209.900483,4533.407882,1.0,1.0,1.0
0.0,168.0419,3.29,181478.6336,207388.6982,188103.8391,192987.8592,212442.0013,206724.546
